,year,agnico_mines,coal_monthly,dowjones_industrial,dowjones_transport,euro,gb_pound,gold,n_gas,nasdaq,newmont,oil,platinum,rio_tinto,royal_gold,silver,snp,southern_copper
0,1997,6.626439393939394,35.14621212121212,7825.882803030303,3210.6821212121213,1.123181818181818,1.6595454545454547,306.3151515151515,2.8915151515151516,1043.988409090909,34.33174242424242,19.88628787878788,1.2643181818181817,13.583787878787879,6.466893939393939,5.336818181818182,951.1569696969697,2.5683333333333334
1,1998,5.251423076923078,29.390846153846155,8633.18451923077,3207.1188846153846,1.1233461538461538,1.6577307692307692,294.02250000000004,2.157192307692308,1303.035076923077,24.247576923076924,14.384153846153847,1.3627884615384616,12.450307692307693,4.751230769230769,5.530615384615385,1085.833673076923,2.101673076923077
2,1999,6.172826923076923,25.88653846153846,10481.054288461539,3215.9870192307694,1.0655769230769232,1.6176923076923078,278.7580961538461,2.315673076923077,2366.8891346153846,20.42482692307692,19.342647435897437,3.3376346153846153,16.52726923076923,4.265596153846154,5.212384615384615,1327.6701346153845,2.2214423076923078
3,2000,6.086384615384616,26.240000000000002,10730.254096153845,2715.007173076923,0.9238461538461538,1.5161153846153845,279.1930769230769,4.328019230769231,3593.6845769230767,20.00323076923077,30.26502564102564,5.004538461538462,16.74080769230769,3.2243269230769234,4.944884615384615,1426.5994807692307,2.2165
4,2001,8.299137931034481,32.490421455938694,10201.320593869732,2720.9447892720304,0.8957471264367816,1.4404980842911876,271.35172413793106,4.047528735632183,1747.5884482758622,19.356494252873564,25.95080459770115,5.979367816091954,18.007183908045977,4.086494252873563,4.371053639846743,1193.2525670498085,2.065210727969349
5,2002,13.565019157088122,27.163295019157086,9223.14469348659,2534.9612068965516,0.9459003831417624,1.5039463601532566,310.44664750957855,3.3652298850574716,1170.3804980842913,26.166187739463602,26.1183908045977,7.312011494252873,18.979789272030654,12.987394636015326,4.609003831417625,995.2624904214559,2.267586206896552
6,2003,12.315842911877395,27.729233716475097,9005.25072796935,2529.48561302682,1.1326053639846745,1.6355172413793104,363.78285440613024,5.490785440613027,1219.3800383141763,34.483620689655176,31.02538314176245,8.697279693486589,21.41254789272031,20.570172413793102,4.88492975734355,965.0114559386973,3.516647509578544
7,2004,13.706870229007633,56.362786259541984,10320.98965648855,3146.8170229007637,1.2443129770992367,1.8334732824427482,409.60591603053433,6.182423664122138,1466.5739694656488,43.05885496183206,41.399465648854964,9.984790076335877,26.02137404580153,15.851812977099238,6.657550890585242,1131.0940076335878,6.844312977099237
8,2005,13.826365384615384,51.011923076923075,10548.570692307692,3711.4508846153844,1.244576923076923,1.8195384615384615,444.9945769230769,9.006653846153846,1556.0986346153848,42.25294230769231,56.68325,12.329346153846155,34.86905769230769,21.23176923076923,7.3089615384615385,1207.4149423076924,8.791480769230768
9,2006,32.47973076923077,52.32842307692307,11408.789634615385,4547.894211538461,1.2561538461538462,1.8436923076923077,604.1119807692307,6.992673076923077,1656.5199423076922,50.845576923076926,66.2399423076923,22.32403846153846,51.50711538461539,30.887711538461538,11.562269230769232,1310.4499615384616,15.176403846153846
10,2007,42.557567049808426,68.81551724137931,13170.578103448275,4924.049406130268,1.3706896551724137,2.001494252873563,696.6946551724137,7.109348659003831,1941.9040229885059,44.147471264367816,72.31327586206896,31.138045977011494,73.90883141762453,29.68162835249042,13.366455938697317,1476.5932183908046,31.193831417624523
11,2008,56.96891221374046,137.61824427480917,11249.273625954198,4556.418377862596,1.4710687022900764,1.852557251908397,871.5376717557252,8.89368320610687,1699.6620610687023,43.46912213740458,99.62463740458014,29.890916030534353,87.07587786259542,32.55412213740458,14.947996183206106,1220.6725572519085,27.63891221374046
12,2009,56.41706896551724,77.68191570881226,8885.233850574714,3401.6483524904215,1.39455938697318,1.5668199233716475,973.7859003831418,4.166187739463601,1493.389846743295,43.5254214559387,61.956302681992334,20.46028735632184,39.475421455938694,44.05593869731801,14.684061302681993,947.7542337164751,24.054003831417624
13,2010,64.17909961685824,104.98122605363984,10665.457394636014,4437.523716475095,1.3268582375478928,1.5458620689655174,1226.4653831417625,4.392528735632184,1946.4450383141764,56.133620689655174,79.60419540229886,27.181647509578543,56.20001915708812,48.575536398467435,20.230632183908046,1139.6974329501916,34.07352490421456
14,2011,60.83701923076923,128.66892307692308,11960.478115384616,5006.302115384616,1.392346153846154,1.6042307692307693,1572.65525,4.0260384615384615,2294.3206538461536,58.95815384615385,95.16628846153846,25.677038461538462,62.90551923076923,62.419673076923075,35.31086538461539,1267.9876538461538,34.92657692307692
15,2012,43.057375478927206,100.67662835249041,12960.902279693488,5136.609731800766,1.2860919540229885,1.5849808429118775,1668.8136398467432,2.828812260536399,2640.1914750957853,51.33593869731801,94.1930459770115,18.06823754789272,51.105498084291185,76.14377394636016,31.172605363984676,1378.9204022988504,33.19206896551724
16,2013,32.75229885057471,90.14306513409961,15002.584367816093,6412.009578544062,1.3288122605363983,1.564904214559387,1410.8705747126437,3.7328160919540228,3047.3280459770117,32.823544061302684,98.01998084291188,12.767394636015325,49.29911877394636,56.31406130268199,23.849578544061302,1642.992337164751,31.36946360153257
17,2014,31.58413793103448,76.987969348659,16782.126379310346,8102.826896551724,1.328390804597701,1.647432950191571,1265.9792720306514,4.264750957854406,3854.000363984674,23.370191570881225,92.86741379310345,9.550804597701148,52.77611111111111,66.92176245210729,19.070478927203066,1931.579980842912,30.013122605363986
18,2015,28.327049808429116,62.07666666666667,17588.651168582375,8384.316091954022,1.1100383141762453,1.5283141762452106,1160.298754789272,2.6281226053639846,4436.420076628352,21.12691570881226,48.78568965517242,4.322337164750957,40.02070881226054,56.376302681992335,15.71,2061.005785440613,28.478486590038315
19,2016,44.373103448275856,68.55022988505748,17922.71302681992,7880.810747126437,1.1072413793103448,1.3551724137931034,1248.621417624521,2.5536206896551725,4567.8975670498085,32.950229885057475,43.42932950191571,3.4099233716475097,31.264482758620687,62.14185823754789,17.12580459770115,2093.9857471264368,27.322950191570882
20,2017,45.85217307692308,93.67853846153845,21741.940115384616,9464.975576923076,1.1303076923076922,1.2889615384615385,1258.6981923076924,3.020019230769231,5756.5108653846155,35.431288461538465,50.91955769230769,3.024923076923077,44.47744230769231,78.85811538461539,17.071038461538464,2448.1885576923078,38.459153846153846
