,year,gold,silver,coal_monthly,oil,southern_copper,agnico_mines
0,1997,0.02263053264249308,0.08287418143556047,0.028177100541180278,0.06454836719529763,0.030173152826210803,0.014191745380556925
1,1998,0.0,0.03136359251656101,0.01827042652083566,0.0,0.03622791292887059,0.0010285055110055563
2,1999,0.01516480899844902,0.0,0.005968810971712368,0.05817064125809299,0.026285504384442382,0.004406875732062124
3,2000,0.013742109179025741,0.00316348466971636,0.00631936289946991,0.18630668353713156,0.017928065246601177,0.004267466427821345
4,2001,0.05016043056175655,0.05910482567443154,0.0,0.13569433523472665,0.0,0.0
5,2002,0.13682827261056058,0.01142698527983077,0.03150668195676831,0.13766037531217037,0.007434221472490843,0.005708471926291883
6,2003,0.1162688629194734,0.01649214286602052,0.07449044461810511,0.19522682886004775,0.016054909818204482,0.040941156332402834
7,2004,0.13916291058810326,0.2727627541007592,0.11141934751327026,0.316930532006943,0.07143649200705887,0.13480571444058073
8,2005,0.14112960653646045,0.22487246956897705,0.1399391446495366,0.4962324753220473,0.09178836058039666,0.1897301189983132
9,2006,0.448133668237264,0.2366551590966942,0.26817219908245965,0.6083469531938425,0.2246734453391757,0.36983175151506364
10,2007,0.6139984656879605,0.3842148338054107,0.3427847734415022,0.679596356069576,0.28104122330108616,0.8216406174303064
11,2008,0.8511857725719184,1.0,0.4836911326504681,1.0000000000000002,0.33045291054418413,0.7213658381774913
12,2009,0.8421033300671239,0.4635691979305833,0.5660931977314614,0.5580933712469047,0.3222068555896658,0.6202451442707972
13,2010,0.969853732628434,0.707898326767576,0.7697281307020716,0.7651298870382558,0.49549705582730696,0.9028690820232819
14,2011,1.0,0.9344131499192136,1.0,0.9642981218303429,1.0,1.0
